target_child_name,speaker_role,type,grouped_age_interval,start_age_in_months,num_senses,multiple_senses
Alex,Caregiver,airplane+n,"(30,36]",30,1,FALSE
Alex,Caregiver,all+r,"(18,24]",18,1,FALSE
Alex,Caregiver,all+r,"(24,30]",24,1,FALSE
Alex,Caregiver,all+r,"(30,36]",30,1,FALSE
Alex,Caregiver,all+r,"(36,42]",36,1,FALSE
Alex,Caregiver,alligator+n,"(18,24]",18,1,FALSE
Alex,Caregiver,alligator+n,"(24,30]",24,1,FALSE
Alex,Caregiver,alligator+n,"(30,36]",30,1,FALSE
Alex,Caregiver,alligator+n,"(36,42]",36,1,FALSE
Alex,Caregiver,animal+n,"(18,24]",18,1,FALSE
Alex,Caregiver,animal+n,"(30,36]",30,1,FALSE
Alex,Caregiver,ankle+n,"(30,36]",30,1,FALSE
Alex,Caregiver,ant+n,"(18,24]",18,1,FALSE
Alex,Caregiver,ant+n,"(30,36]",30,1,FALSE
Alex,Caregiver,ant+n,"(36,42]",36,1,FALSE
Alex,Caregiver,apple+n,"(18,24]",18,1,FALSE
Alex,Caregiver,apple+n,"(24,30]",24,1,FALSE
Alex,Caregiver,apple+n,"(30,36]",30,1,FALSE
Alex,Caregiver,apple+n,"(36,42]",36,1,FALSE
Alex,Caregiver,arm+n,"(24,30]",24,1,FALSE
Alex,Caregiver,arm+n,"(30,36]",30,3,TRUE
Alex,Caregiver,arm+n,"(36,42]",36,1,FALSE
Alex,Caregiver,around+r,"(18,24]",18,1,FALSE
Alex,Caregiver,around+r,"(24,30]",24,4,TRUE
Alex,Caregiver,around+r,"(30,36]",30,1,FALSE
Alex,Caregiver,around+r,"(36,42]",36,4,TRUE
Alex,Caregiver,asleep+r,"(18,24]",18,1,FALSE
Alex,Caregiver,asleep+r,"(30,36]",30,1,FALSE
Alex,Caregiver,asleep+r,"(36,42]",36,1,FALSE
Alex,Caregiver,awake+a,"(18,24]",18,1,FALSE
Alex,Caregiver,awake+a,"(30,36]",30,1,FALSE
Alex,Caregiver,away+r,"(12,18]",12,1,FALSE
Alex,Caregiver,away+r,"(18,24]",18,2,TRUE
Alex,Caregiver,away+r,"(24,30]",24,3,TRUE
Alex,Caregiver,away+r,"(30,36]",30,3,TRUE
Alex,Caregiver,away+r,"(36,42]",36,5,TRUE
Alex,Caregiver,baby+n,"(18,24]",18,2,TRUE
Alex,Caregiver,baby+n,"(24,30]",24,3,TRUE
Alex,Caregiver,baby+n,"(30,36]",30,3,TRUE
Alex,Caregiver,baby+n,"(36,42]",36,3,TRUE
Alex,Caregiver,back+a,"(36,42]",36,1,FALSE
Alex,Caregiver,back+n,"(36,42]",36,3,TRUE
Alex,Caregiver,back+r,"(18,24]",18,1,FALSE
Alex,Caregiver,back+r,"(24,30]",24,1,FALSE
Alex,Caregiver,back+r,"(30,36]",30,4,TRUE
Alex,Caregiver,back+r,"(36,42]",36,4,TRUE
Alex,Caregiver,ball+n,"(12,18]",12,1,FALSE
Alex,Caregiver,ball+n,"(18,24]",18,3,TRUE
Alex,Caregiver,ball+n,"(24,30]",24,3,TRUE
Alex,Caregiver,ball+n,"(30,36]",30,4,TRUE
Alex,Caregiver,ball+n,"(36,42]",36,3,TRUE
Alex,Caregiver,balloon+n,"(12,18]",12,2,TRUE
Alex,Caregiver,balloon+n,"(18,24]",18,2,TRUE
Alex,Caregiver,balloon+n,"(24,30]",24,1,FALSE
Alex,Caregiver,balloon+n,"(30,36]",30,1,FALSE
Alex,Caregiver,balloon+n,"(36,42]",36,1,FALSE
Alex,Caregiver,banana+n,"(18,24]",18,1,FALSE
Alex,Caregiver,banana+n,"(24,30]",24,1,FALSE
Alex,Caregiver,banana+n,"(30,36]",30,2,TRUE
Alex,Caregiver,banana+n,"(36,42]",36,1,FALSE
Alex,Caregiver,basket+n,"(24,30]",24,1,FALSE
Alex,Caregiver,basket+n,"(30,36]",30,1,FALSE
Alex,Caregiver,basket+n,"(36,42]",36,1,FALSE
Alex,Caregiver,bat+n,"(12,18]",12,1,FALSE
Alex,Caregiver,bat+n,"(18,24]",18,2,TRUE
Alex,Caregiver,bat+n,"(24,30]",24,1,FALSE
Alex,Caregiver,bat+n,"(30,36]",30,2,TRUE
Alex,Caregiver,bat+n,"(36,42]",36,1,FALSE
Alex,Caregiver,bat+v,"(36,42]",36,1,FALSE
Alex,Caregiver,bath+n,"(18,24]",18,1,FALSE
Alex,Caregiver,bath+n,"(30,36]",30,1,FALSE
Alex,Caregiver,beach+n,"(18,24]",18,1,FALSE
Alex,Caregiver,beach+n,"(30,36]",30,1,FALSE
Alex,Caregiver,beach+n,"(36,42]",36,1,FALSE
Alex,Caregiver,bead+n,"(18,24]",18,1,FALSE
Alex,Caregiver,bead+n,"(36,42]",36,1,FALSE
Alex,Caregiver,bean+n,"(18,24]",18,1,FALSE
Alex,Caregiver,bean+n,"(24,30]",24,3,TRUE
Alex,Caregiver,bean+n,"(36,42]",36,3,TRUE
Alex,Caregiver,bear+n,"(18,24]",18,1,FALSE
Alex,Caregiver,bear+n,"(24,30]",24,1,FALSE
Alex,Caregiver,bear+n,"(30,36]",30,1,FALSE
Alex,Caregiver,bear+n,"(36,42]",36,1,FALSE
Alex,Caregiver,bed+n,"(30,36]",30,1,FALSE
Alex,Caregiver,bed+n,"(36,42]",36,1,FALSE
Alex,Caregiver,bee+n,"(12,18]",12,1,FALSE
Alex,Caregiver,bee+n,"(18,24]",18,1,FALSE
